"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/ankara-cankaya-maltepe-kiralik/daire/6792-4614","13","38.000","28-05-2025","1 +
                          1","50 m²","1
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/5/2/6/6/4/4/1747754519-438136-44662579.jpeg","EİDS onaylı","Ankara / Çankaya / Maltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/ulusoy-emlak-6792/ferruh-teberoglu-6792","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Ulusoy Emlak","Ferruh
          Teberoğlu","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/9/7/6/0/0/29175c83-adab-49b0-ab8d-ecbbcfcedd18.jpg","Maltepede Yeni 1+1 Lüks Full Eşyalı Herşey Dahil Daireler Metro Yakını"
"https://www.hepsiemlak.com/istanbul-uskudar-barbaros-kiralik/daire/7350-10185","25","57.000","28-05-2025","3 +
                          1","145 m²","30
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/6/0/9/5/4/4/175b4ecd-3773-4212-b399-1fe87640e96c.jpg","EİDS onaylı","İstanbul / Üsküdar / Barbaros Mah.","https://www.hepsiemlak.com/emlak-ofisi/century21-sahra-gayrimenkul-7350","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Century21 Sahra Gayrımenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/5/3/7/0/0/8896c33d-8904-4780-b2a0-daf1b78318d7.jpg","Koşuyolu  Soyak Gökyüzü Konutlarında Geniş 3+1 Daire Kiralıktır"
"https://www.hepsiemlak.com/istanbul-kucukcekmece-ataturk-kiralik/daire/102799-1356","52","20.000","04-06-2025","1 +
                          1","55 m²","23
                        Yaşında","10. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/9/1/4/7/4/4/80cc7304-f9e2-4a0d-b708-1bb01cad2695.jpg","EİDS onaylı","İstanbul / Küçükçekmece / Atatürk Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","Küçükçekmece Atakent 2.Etap Arenapark A Yakın Full Eşyalı Kiralık 1+1 50m2 Daire"
"https://www.hepsiemlak.com/ankara-kecioren-osmangazi-kiralik/daire/113450-1334","34","30.000","04-06-2025","3 +
                          1","148 m²","6
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/1/4/7/4/4/07ab5c58-81e3-4233-9154-d1d91b1f1bc8.jpg","EİDS onaylı","Ankara / Keçiören / Osmangazi Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","Keçiören'de Erdinç Caddesi Üzeri Kiralık Daire İsmail Çağlar Gayrimenkul Den"
"https://www.hepsiemlak.com/ankara-yenimahalle-avcilar-kiralik/daire/61688-5201","46","26.000","04-06-2025","3 +
                          1","150 m²","10
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/5/2/4/7/4/4/d0265d47-e6eb-4988-a539-957d4723923e.jpg","EİDS onaylı","Ankara / Yenimahalle / Avcılar Mah.","https://www.hepsiemlak.com/emlak-ofisi/cihan-emlak-61688/musa-ayaz-4041729","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Cihan Emlak","Musa
          Ayaz","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Cihandan Avcılar Akgüvercin Cadde Üstü Onkoloji Has,Yakını 3+1"
"https://www.hepsiemlak.com/eskisehir-tepebasi-bahcelievler-kiralik/daire/81451-144","31","17.500","04-06-2025","2 +
                          1","115 m²","35
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/9/1/4/7/4/4/1749028550117-44741998.jpg","EİDS onaylı","Eskişehir / Tepebaşı / Bahçelievler Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","Sıhhiye Meydanında Kiralık Asansörlü Balkonlu Ara Kat 2+1 Daire"
"https://www.hepsiemlak.com/istanbul-besiktas-etiler-kiralik/daire/1120-2363","60","60.000","04-06-2025","3 +
                          1","130 m²","31
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/4/1/4/7/4/4/16e0f5ecaeb19b6a18bc4882a193f867cc689790a407358c9cd18d60a54371d48262222b045ea6723bba45277056d28e.jpg","EİDS onaylı","İstanbul / Beşiktaş / Etiler Mah.","https://www.hepsiemlak.com/emlak-ofisi/evin-emlak-1120","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Evin Emlak","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/2/1/1/0/0/fa7ddd8f-a378-46d3-b537-5c39b17e7dd0.jpg","Etiler Kiralık Narin Sitesinde Taşınmaya Hazır Temiz 3 +1"
"https://www.hepsiemlak.com/izmir-bayrakli-adalet-kiralik/daire/43114-220","41","27.000","04-06-2025","3 +
                          1","150 m²","25
                        Yaşında","10. Kat","","","","İzmir / Bayraklı / Adalet Mah.","","","","","","İzmir Bayraklı Adliye Folkart Yakını Site İçinde  3+1 27000 Kiralık"
"https://www.hepsiemlak.com/ankara-cankaya-karapinar-kiralik/daire/122440-658","36","33.000","04-06-2025","3 +
                          1","150 m²","20
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/4/2/2/1/8dbdb6c9-b8a4-46ec-b76f-0e4449544f34.jpg","EİDS onaylı","Ankara / Çankaya / Karapınar Mah.","https://www.hepsiemlak.com/emlak-ofisi/garanti-gayrimenkul-122440","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Garanti Gayrimenkul","","","Garanti' Den  Çankaya Karapınarda  Önü Açık 1 Katta 3+1 125 M2 Kombili Kiralık  Daire"
"https://www.hepsiemlak.com/istanbul-umraniye-camlik-kiralik/daire/35298-834","35","40.000","04-06-2025","3 +
                          1","125 m²","16
                        Yaşında","8. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","","EİDS onaylı","İstanbul / Ümraniye / Çamlık Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","İkbal Caddesine Çok Yakın 3+1 Açık Otoparklı Kiralık Daire"
"https://www.hepsiemlak.com/zonguldak-merkez-yesil-kiralik/daire/133058-337","37","18.500","04-06-2025","2 +
                          1","120 m²","1
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/7/1/4/7/4/4/470e7559-7746-44ad-9476-11255479e22f.jpg","EİDS onaylı","Zonguldak / Merkez / Yeşil Mah.","https://www.hepsiemlak.com/emlak-ofisi/candal-gayrimenkul-133058","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Candal Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/0/3/3/1/d92872d0-4c6f-4f88-8cc1-da91f1a796e4.jpg","Zonguldak Kapuz Uzunkum'da Kiralık Sıfır 2+1"
